                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.42103,                0.52662,                 1.0064,                0.88721,                0.93548,                0.95847,                0.93463,                0.31672,                 1.1489,                0.70131,              0.0069805,              0.0069805,              0.0069805
                     63,                0.36566,                0.47109,                0.96552,                0.65664,                0.77419,                0.86368,                0.85956,                0.34256,                 1.2988,                 0.7416,               0.006931,               0.006931,               0.006931
                     64,                0.35457,                0.47667,                0.96434,                0.76606,                0.87097,                0.94003,                 0.9219,                0.32987,                 1.3146,                0.67527,              0.0068815,              0.0068815,              0.0068815
                     65,                0.40033,                0.47419,                0.96636,                0.80838,                0.83871,                 0.9245,                0.92027,                0.34676,                 1.4211,                0.70805,               0.006832,               0.006832,               0.006832
                     66,                0.39903,                0.49887,                0.96177,                0.78707,                0.90323,                0.94648,                0.94648,                0.49592,                 1.4347,                0.81651,              0.0067825,              0.0067825,              0.0067825
                     67,                0.35319,                0.44483,                 0.9301,                0.71644,                0.96774,                0.95913,                0.95913,                0.41524,                 1.4906,                0.74808,               0.006733,               0.006733,               0.006733
                     68,                0.38211,                0.48698,                0.95527,                0.83922,                0.93548,                0.96427,                0.96427,                0.29162,                 1.2355,                0.67404,              0.0066835,              0.0066835,              0.0066835
                     69,                0.39907,                0.45437,                0.95776,                0.85135,                0.92397,                0.96808,                0.96359,                0.34997,                 1.2902,                0.70757,               0.006634,               0.006634,               0.006634
                     70,                0.37523,                0.47379,                0.93468,                0.85591,                0.95827,                  0.982,                  0.982,                0.33684,                 1.1446,                0.72847,              0.0065845,              0.0065845,              0.0065845
                     71,                0.36768,                0.54456,                0.94959,                0.99517,                      1,                  0.995,                 0.9908,                0.36035,                0.43052,                0.76223,               0.006535,               0.006535,               0.006535
                     72,                0.39235,                0.43954,                0.97363,                0.99749,                      1,                  0.995,                0.97519,                0.37724,                0.41557,                0.75278,              0.0064855,              0.0064855,              0.0064855
                     73,                0.38795,                0.47441,                 0.9565,                0.99714,                      1,                  0.995,                0.99161,                0.32377,                0.39766,                0.73388,               0.006436,               0.006436,               0.006436
                     74,                0.42244,                0.50083,                0.97441,                0.99633,                      1,                  0.995,                0.99109,                0.33846,                0.40041,                0.71743,              0.0063865,              0.0063865,              0.0063865
                     75,                0.37014,                0.46178,                0.94882,                 0.9978,                      1,                  0.995,                0.98148,                0.30463,                0.36265,                0.69454,               0.006337,               0.006337,               0.006337
                     76,                0.31469,                0.42131,                0.90862,                0.99887,                      1,                  0.995,                0.97755,                0.31343,                0.38624,                0.68403,              0.0062875,              0.0062875,              0.0062875
                     77,                0.36343,                0.44912,                0.94351,                0.99834,                      1,                  0.995,                0.98593,                0.28308,                0.36913,                0.68397,               0.006238,               0.006238,               0.006238
                     78,                  0.361,                0.43414,                0.93279,                 0.9982,                      1,                  0.995,                0.98038,                0.29198,                0.37501,                0.69419,              0.0061885,              0.0061885,              0.0061885
                     79,                0.32523,                0.40858,                0.90068,                0.99764,                      1,                  0.995,                0.98716,                0.30476,                0.39965,                0.70348,               0.006139,               0.006139,               0.006139
                     80,                0.37058,                0.49076,                0.96862,                0.99823,                      1,                  0.995,                  0.995,                0.28871,                0.38418,                0.68712,              0.0060895,              0.0060895,              0.0060895
                     81,                0.33322,                0.40058,                0.94979,                0.99841,                      1,                  0.995,                  0.995,                0.24698,                0.35231,                 0.6453,                0.00604,                0.00604,                0.00604
                     82,                0.34012,                0.41202,                0.94794,                0.99789,                      1,                  0.995,                  0.995,                0.25652,                0.35912,                0.66594,              0.0059905,              0.0059905,              0.0059905
                     83,                 0.3301,                0.42107,                0.95042,                0.99794,                      1,                  0.995,                  0.995,                0.28509,                0.32513,                0.71444,               0.005941,               0.005941,               0.005941
                     84,                0.33553,                0.43417,                0.92329,                0.99688,                      1,                  0.995,                0.98291,                0.29252,                0.34412,                0.72648,              0.0058915,              0.0058915,              0.0058915
                     85,                0.36157,                0.41324,                0.93446,                0.99656,                      1,                  0.995,                0.98114,                0.31355,                0.34111,                0.73579,               0.005842,               0.005842,               0.005842
                     86,                0.33676,                0.41937,                0.91621,                0.96008,                0.96774,                0.98851,                0.98502,                0.30392,                0.52465,                0.70821,              0.0057925,              0.0057925,              0.0057925
                     87,                0.33403,                0.43807,                0.92499,                0.96673,                      1,                0.99406,                0.97466,                0.30008,                0.35528,                 0.7243,               0.005743,               0.005743,               0.005743
                     88,                0.34217,                0.41228,                0.94225,                0.98573,                      1,                  0.995,                 0.9762,                0.31039,                0.35577,                0.68927,              0.0056935,              0.0056935,              0.0056935
                     89,                0.32192,                 0.4008,                0.91508,                0.99726,                      1,                  0.995,                0.98509,                0.27732,                0.35685,                0.63966,               0.005644,               0.005644,               0.005644
                     90,                 0.3401,                0.40183,                0.94222,                0.99797,                      1,                  0.995,                  0.995,                0.23633,                0.35805,                0.61856,              0.0055945,              0.0055945,              0.0055945
                     91,                0.33538,                0.39398,                 0.9179,                0.99566,                      1,                  0.995,                  0.995,                0.21497,                0.32906,                0.61995,               0.005545,               0.005545,               0.005545
                     92,                0.32181,                 0.3799,                0.92472,                0.99656,                      1,                  0.995,                  0.995,                0.23572,                0.33819,                0.63933,              0.0054955,              0.0054955,              0.0054955
                     93,                0.29607,                0.38294,                0.92322,                0.99276,                      1,                  0.995,                0.98611,                0.24845,                0.33422,                0.63909,               0.005446,               0.005446,               0.005446
                     94,                 0.2914,                0.37429,                0.92616,                0.99407,                      1,                  0.995,                0.99162,                0.24106,                0.33987,                0.62333,              0.0053965,              0.0053965,              0.0053965
                     95,                0.31393,                0.35944,                 0.9427,                0.99645,                      1,                  0.995,                0.98873,                0.25431,                0.36346,                0.64252,               0.005347,               0.005347,               0.005347
                     96,                0.30191,                0.38677,                0.91144,                0.99192,                      1,                  0.995,                0.94302,                0.34165,                 0.5532,                0.75185,              0.0052975,              0.0052975,              0.0052975
                     97,                 0.3242,                0.37954,                0.92335,                0.99021,                      1,                  0.995,                0.95564,                0.31346,                0.71883,                0.73879,               0.005248,               0.005248,               0.005248
                     98,                0.27677,                0.39054,                0.89156,                0.90544,                0.92686,                0.97082,                0.96173,                0.30162,                 1.0468,                0.71755,              0.0051985,              0.0051985,              0.0051985
                     99,                0.29718,                0.38612,                0.92802,                0.74868,                0.90323,                0.90995,                0.90685,                0.27513,                 1.4665,                0.69424,               0.005149,               0.005149,               0.005149
                    100,                0.30559,                0.35025,                0.95673,                0.72752,                0.90323,                0.93404,                0.93404,                0.28173,                 1.5569,                0.67092,              0.0050995,              0.0050995,              0.0050995
                    101,                0.30243,                 0.3615,                0.93013,                      1,                0.99746,                  0.995,                  0.995,                0.23738,                0.59887,                 0.6613,                0.00505,                0.00505,                0.00505
                    102,                0.28878,                0.37535,                0.91155,                0.98572,                      1,                  0.995,                  0.995,                0.23489,                0.56078,                0.65164,              0.0050005,              0.0050005,              0.0050005
                    103,                0.27984,                0.38417,                0.92077,                0.98505,                      1,                  0.995,                  0.995,                0.24362,                0.45948,                0.65881,               0.004951,               0.004951,               0.004951
                    104,                0.26196,                0.34199,                0.88934,                0.80487,                      1,                0.99318,                0.99318,                0.24588,                 1.4627,                0.66226,              0.0049015,              0.0049015,              0.0049015
                    105,                0.27739,                0.34551,                0.90162,                 0.9821,                      1,                  0.995,                  0.995,                0.25144,                0.39765,                 0.6666,               0.004852,               0.004852,               0.004852
                    106,                0.30206,                0.36422,                0.94255,                0.99488,                      1,                  0.995,                  0.995,                 0.2467,                0.33708,                0.65728,              0.0048025,              0.0048025,              0.0048025
                    107,                0.27465,                 0.3537,                0.91352,                0.99786,                      1,                  0.995,                  0.995,                 0.2424,                0.29225,                0.63367,               0.004753,               0.004753,               0.004753
                    108,                0.27444,                0.34319,                0.90402,                0.99819,                      1,                  0.995,                  0.995,                0.24819,                 0.2854,                0.63694,              0.0047035,              0.0047035,              0.0047035
                    109,                 0.2873,                0.36238,                0.90796,                0.99788,                      1,                  0.995,                  0.995,                0.21159,                0.26747,                 0.6303,               0.004654,               0.004654,               0.004654
                    110,                0.24789,                0.30321,                0.90014,                0.99393,                      1,                  0.995,                  0.995,                0.22426,                0.33827,                0.64515,              0.0046045,              0.0046045,              0.0046045
                    111,                0.26571,                0.31932,                 0.8888,                0.98597,                      1,                  0.995,                  0.995,                0.23555,                0.50542,                0.65773,               0.004555,               0.004555,               0.004555
                    112,                0.27277,                0.34816,                0.90828,                0.80476,                0.96774,                0.98581,                0.98581,                0.22047,                 1.4454,                0.63844,              0.0045055,              0.0045055,              0.0045055
                    113,                0.26129,                0.34401,                0.92323,                0.80112,                      1,                0.98777,                0.98777,                0.21258,                 1.4476,                0.62238,               0.004456,               0.004456,               0.004456
                    114,                0.27759,                0.34537,                 0.9011,                0.95773,                      1,                  0.995,                  0.995,                0.20614,                 1.1698,                0.61738,              0.0044065,              0.0044065,              0.0044065
                    115,                0.25629,                0.32006,                0.89424,                0.99115,                      1,                  0.995,                  0.995,                0.21491,                0.34667,                0.64066,               0.004357,               0.004357,               0.004357
                    116,                0.26222,                0.32952,                0.92387,                0.99796,                      1,                  0.995,                  0.995,                0.20178,                0.28245,                0.63514,              0.0043075,              0.0043075,              0.0043075
                    117,                0.24644,                 0.3122,                0.92135,                0.99822,                      1,                  0.995,                  0.995,                0.22849,                0.28598,                0.62906,               0.004258,               0.004258,               0.004258
                    118,                0.24174,                0.32714,                0.92119,                0.99795,                      1,                  0.995,                  0.995,                0.18958,                0.25967,                0.61908,              0.0042085,              0.0042085,              0.0042085
                    119,                0.24545,                 0.3104,                0.90324,                0.99833,                      1,                  0.995,                  0.995,                0.20998,                0.26271,                0.63425,               0.004159,               0.004159,               0.004159
                    120,                0.24163,                 0.3052,                0.90545,                 0.9983,                      1,                  0.995,                  0.995,                0.21941,                0.26021,                0.65324,              0.0041095,              0.0041095,              0.0041095
